complaint_id,complaint_text,category,sentiment,priority,language_ratio
CMP002388,mujhe Gurgaon se order kiya tha discount ke baad bhi amount expected se zyada aaya but order summary aur actual item me mismatch hai tracking id TRK5943931 😤 thanks but no thanks!!,Price Mismatch,Negative,Medium,45% Hindi / 55% English
CMP002389,support team issue samajh hi nahi rahi but order summary aur actual item me mismatch hai order no 543526 thanks but no thanks,Customer Support,Negative,Medium,70% Hindi / 30% English
CMP002390,"madam, reverse pickup schedule hua tha but no show fir bhi kisi ne update dene ki bhi zarurat nahi samjhi plzz resolve this",Return,Negative,High,65% Hindi / 35% English
CMP002391,"bhai, mujhe Gurgaon se order kiya tha image preview freeze ho jati hai tracking id TRK5869194 ☹️ very disappointing",App Performance,Negative,Medium,30% Hindi / 70% English
CMP002392,"bhai,  estimated date baar baar badal raha hai but order summary aur actual item me mismatch hai tracking id TRK6984499 🙄 plzz resoolve this",Tracking Issue,Negative,High,50% Hindi / 50% English
CMP002393,"bhai,  mujhe Pune se order kiya tha cart update karte time app hang ho jati hai plzz resolve this",App Bug,Negative,High,35% Hindi / 65% English
CMP002394,"dear team, mjhe Lucknow se order kiya tha cashback offer terms clear nahi the still order summary aur actual item me mismatch hai ⚠️ thanks but no thanks",Coupon Issue,Negative,Medium,45% Hindi / 55% English
CMP002395,"dear team, tracking TRK5155033 4 din se update nahi hua 1299 rupaye ka order tha waiting for reply",Tracking Issue,Negative,Medium,60% Hindi / 40% English
CMP002396,"madam, wishlist suggestions irrelevant aa rahi hain and delivery boy ne call bhi nahi kiya waiting for reply",Wishlist,Neutral,Low,35% Hindi / 65% English
CMP002397,"sir, app very slow hai especially checkout pe tracking id TRK5129123 ab kya karu?",App Performance,Negative,High,25% Hindi / 75% English
CMP002398,"plz  help, dispatch bahut late kiya aur update bhi nahi diya thanks but no thanks...",Seller Complaint,Negative,High,50% Hindi / 50% English
CMP002399,"plz  help, sort by price work nahi kar raha lekin kisi ne update dene ki bhi zarurat nahi samjhi tracking id TRK5259106 need immediate help",Search/Filter,Negative,Low,40% Hindi / 60% English
CMP002400,"plz look into, size S ke jagah galat size bhej diya aur details me bola tha original quality, par aisa laga local copy h need immediate help!!",Wrong Product,Negative,Medium,55% Hindi / 45% English
CMP002401,"plz  help, wishlist me add to ho gaya but sync nahi hua tracking id TRK9819187 hope you understand...",Wishlist,Neutral,Low,35% Hindi / 65% English
CMP002402,"sir, mujhe Raipur se order kiya tha search results bilkul raurom aa rahe hain aur order summary aur actual item me mismatch hai 599 rupaye ka order tha 🙄 thanks but no thanks",Search/Filter,Negative,Medium,35% Hindi / 65% English
CMP002403,"support, delivery aur app sab ek sath problem kar rahe h but app pe jo dikhaya gaya tha wo reality se match nahi karta 399 rupaye ka order tha 😤 jaldi fix kro",Other,Negative,Low,60% Hindi / 40% English
CMP002404,"yrr, search results load hi nahi hote lekin app pe jo dikhaya gaya tha wo reality se match nahi karta order no 322218 waiting for reply!",App Bug,Negative,Critical,25% Hindi / 75% English
CMP002405,"madam, mujhe Patna se order kiya tha shipment TRK1662468 abhi tak move hi nahi hua 1999 rupaye ka order tha tracking id TRK1662468 plz expedite...",Delivery Delay,Negative,Medium,70% Hindi / 30% English
CMP002406,"team,  wallet offer claim nahi ho raha tab bhi mera time aur paisa dono waste hua order no 429680 isko seriously lo?",Cashback,Negative,Low,55% Hindi / 45% English
CMP002407,"hello, discount show hua par final amount same raha but parcel ka status 48 ghante se same hai 299 rupaye ka order tha order no 351572 thanks but no thanks!!",Coupon Issue,Negative,Low,45% Hindi / 55% English
CMP002408,"hello,  card charge hua but app me failed dikha rha h lekkin dlivry boy ne call bhi nahi kiya 999 rupaye ka order tha ab kya karu",Payment Issue,Negative,Critical,50% Hindi / 50% English
CMP002409,"team,  mujhe Patna se order kiya tha bottle leak ho rahi thi aur sab gaura ho gaya plz expedite",Damaged Product,Negative,High,50% Hindi / 50% English
CMP002410,"hello, filter apply karne ke baad bhi same products dikhte hain still chat support me sirf bot hi bot hai, koi live agent nahi 499 rupaye ka order tha tracking id TRK9237573 plzz resolve this",Search/Filter,Negative,Medium,35% Hindi / 65% English
CMP002411,"madam, delivry boy rude tha aur call pe hang up kar diya fir bhi delivery boy ne call bhi nahi kiya need immediate help",Courier Experience,Negative,High,60% Hindi / 40% English
CMP002412,"urgent,  mujhe Mumbai se order kiya tha notify me click kiya tha but kabhi update nahi aaya lekin details me bola tha original quality, par aisa laga local copy h ⚠️ plz expedite",Stock Issue,Negative,Low,35% Hindi / 65% English
CMP002413,"dear  team, original product ka naam tha but duplicate nikla tracking id TRK8383200 😒 need immediate help??",Fraud/Scam,Negative,Critical,50% Hindi / 50% English
CMP002414,"urgent, login screen loop me atak jata hai plzz resolve this...",App Bug,Negative,Critical,35% Hindi / 65% English
CMP002415,"dear team, mujhe Noida se order kiya tha seal khula hua tha aur item damage dikha aur details me bola tha original quality, par aisa laga local copy h 2499 rupaye ka order tha order no 950608 thanks but no thanks!",Damaged Product,Negative,Critical,50% Hindi / 50% English
CMP002416,"dear team, old item bheja aur naya wala delay kar diya still mera time aur paisa dono waste hua tracking id TRK5737400 order no 145948 plz expedite",Exchange,Negative,High,60% Hindi / 40% English
CMP002417,"please  look into, cashback offer terms clear nahi the aur order summary aur actual item me mismatch hai order no 712040 🙄 waiting for reply",Coupon Issue,Negative,High,45% Hindi / 55% English
CMP002418,"mujhe Mumbai se order kiya tha app pe price alag tha aur checkout pe mehnga ho gaya tab bhi details me bola tha original quality, par aisa laga local copy h 799 rupaye ka order tha tracking id TRK7877060 waiting for reply",Price Mismatch,Negative,High,55% Hindi / 45% English
CMP002419,"bhai, account lock ho gaya bina reason tab bhi details me bola tha original quality, par aisa laga local copy h need immediate help",Account/Login,Negative,High,40% Hindi / 60% English
CMP002420,"bhai, seller ne misleading photo dala tha order no 274930 plz expedite",Seller Complaint,Negative,High,50% Hindi / 50% English
CMP002421,"bhai,  overall experience bahut inconsistent raha aur details me bola tha original quality, par aisa laga local copy h 🥲 waiting for reply",Other,Negative,High,60% Hindi / 40% English
CMP002422,"yrr, account lock ho gaya bina reason aur details me bola tha original quality, par aisa laga local copy h 🥲 isko seriously lo",Account/Login,Negative,Medium,30% Hindi / 70% English
CMP002423,"please look into, wishlist me add to ho gaya but sync nahi hua tracking id TRK4508950 order no 981926 😤 hope you understand",Wishlist,Neutral,Medium,50% Hindi / 50% English
CMP002424,search  results bilkul raurom aa rahe hain aur delivery boy ne call bhi nahi kiya 🤦 plz expedite,Search/Filter,Negative,Low,35% Hindi / 65% English
CMP002425,"urgent, mujhe Mumbai se order kiya tha address correct tha fir bhi pickup miss ho gaya tab bhi delivery boy ne call bhi nahi kiya 1999 rupaye ka order tha tracking id TRK8039939 order no 658505 jaldi fix kro?",Return Pickup,Negative,Critical,60% Hindi / 40% English
CMP002426,"plz help, original product ka naam tha but duplicate nikla tab bhi details me bola tha original quality, par aisa laga local copy h 🤦 ab kya karu",Fraud/Scam,Negative,Critical,50% Hindi / 50% English
CMP002427,"team, courier wale baar baar reschedule kar rahe h tab bhi delivery boy ne call bhi nahi kiya 399 rupaye ka order tha plzz resolve this",Delivery Delay,Negative,Critical,60% Hindi / 40% English
CMP002428,"plz  help, mujhe Lucknow se order kiya tha muujhe laptop bag order kiya tha par earphones bhej diya lekin parcel ka status 48 ghante se same hai very disappointing",Wrong Product,Negative,High,45% Hindi / 55% English
CMP002429,"madam,  mujhe Jaipur se order kiya tha pickup boy aaya hi nahi aur request cancel ho gayi fir bhi order summary aur actual item me mismatch hai tracking id TRK7385148 thankks but no thanks",Return,Negative,High,65% Hindi / 35% English
CMP002430,"bhai, mujhe Bhopal se order kiya tha product page pe 999 tha but pay time 1199 hua tracking id TRK4860041 order no 213304 😤 jaldi fix kro",Price Mismatch,Negative,High,55% Hindi / 45% English
CMP002431,mujhe Gurgaon se order kiya tha return approve karne me itna time kyu lag rha h fir bhi mera time aur paisa dono waste hua tracking id TRK8187746 need immediate help...,Return,Negative,Critical,55% Hindi / 45% English
CMP002432,seal khua hua tha aur item damage dikha tab bhi order summary aur actual item me mismatch hai order no 826872 need immediate help,Damaged Product,Negative,Critical,50% Hindi / 50% English
CMP002433,"sir,  mujhe Jaipur se order kiya tha product mismatch hai aur seller ne ignore kar diya aur order summary aur actual item me mismatch hai 199 rupaye ka order tha isko seriously lo!!",Wrong Product,Negative,Medium,45% Hindi / 55% English
CMP002434,app pe price alag tha aur checkout pe mehnga ho gaya tracking id TRK51677173 plzz resolve this,Price Mismatch,Negative,High,45% Hindi / 55% English
CMP002435,"kindly check, old item bheja aur naya wala delay kar diya tab bhi order summary aur actual item me mismatch hai very disappointing?",Exchange,Negative,High,55% Hindi / 45% English
CMP002436,"dear team, filter apply kaarne ke baad bhi same products dikhte hain lekin order summary aur actual item me mismatch hai 😤 hope you understaur",Search/Filter,Negative,Low,35% Hindi / 65% English
CMP002437,"yrr, sort by price work nahi kar raha and order summary aur actual item me mismatch hai order no 103821 hope you understand",Search/Filter,Negative,Medium,40% Hindi / 60% English
CMP002438,"plz look into, packing opened lag rahi thi aur item गायब tha but details me bola tha original quality, par aisa laga local copy h 999 rupaye ka order tha 😑 waiting for reply",Missing Item,Negative,Critical,65% Hindi / 35% English
CMP002439,"kindly  check, search results load hi nahi hote tracking id TRK3668253 jaldi fix kro",App Bug,Negative,Medium,35% Hindi / 65% English
CMP002440,"plz look into, revrse pickup schedule hua tha but no show still delivery boy ne call bhi nahi kiya need immediate help!",Return,Negative,Critical,55% Hindi / 45% English
CMP002441,"plz help, courier staff ne wrong address bolke return mark kar diya fir bhi app pe jo dikhaya gaya tha wo reality se match nahi karta very disappointing...",Courier Experience,Negative,Medium,70% Hindi / 30% English
CMP002442,"sir, coupon lagate hi page freeze ho jata h fir bhi chat support me sirf bot hi bot hai, koi live agent nahi 399 rupaye ka order tha 🤦 waiting for reply!!",App Bug,Negative,Critical,25% Hindi / 75% English
CMP002443,"dear team, mujhe Jaipur se order kiya tha customer care par call kiya but koi response nahi tab bhi order summary aur actual item me mismatch hai thanks but no thanks",Customer Support,Negative,Medium,70% Hindi / 30% English
CMP002444,"order 955098 10 din se pending h but details me bola tha original quality, par aisa laga local copy h waiting for reply",Delivery Delay,Negative,High,60% Hindi / 40% English
CMP002445,"madam, mujhe Raipur se order kiya tha wishlist suggestions irrelevant aa rahi hain fir bhi chat support me sirf bot hi bot hai, koi live agent nahi 2499 rupaye ka order tha isko seriously lo",Wishlist,Neutral,Medium,35% Hindi / 65% English
CMP002446,mujhe  Delhi se order kiya tha delivery boy rude tha aur call pe hang up kar diya 🥲 isko seriously lo,Courier Experience,Negative,High,60% Hindi / 40% English
CMP002447,"yrr, cashback offer terms clear nahi the 😭 very disappointing?",Coupon Issue,Negative,Low,45% Hindi / 55% English
CMP002448,return  approve karne me itna time kyu lag rha h tab bhi mera time aur paisa dono waste hua 😒 plzz resolve this,Return,Negative,Critical,55% Hindi / 45% English
CMP002449,"dear team, mujhe Raipur se order kiya tha shipment TRK9051930 abhi tak move hi nahi hua tab bhi kisi ne update dene ki bhi zarurat nahi samjhi tracking id TRK9051930 waiting for reply...",Delivery Delay,Negative,High,75% Hindi / 25% English
CMP002450,"plz help, same location pe parcel stuck dikh rha h aur delivery boy ne call bhi nahi kiya 2499 rupaye ka order tha plz expedite",Tracking Issue,Negative,High,50% Hindi / 50% English
CMP002451,"wallet me refund show ho rha but bank me kuch nahi lekin chat support me sirf bot hi bot hai, koi live agent nahi 199 rupaye ka order tha 😤 isko seriously lo",Refund,Negative,Critical,65% Hindi / 35% English
CMP002452,"team, mujhe Lucknow se order kiya tha delivery boy rude tha aur call pe hang up kar diya aur details me bola tha original quality, par aisa laga local copy h 😤 thanks but no thanks",Courier Experience,Negative,Medium,70% Hindi / 30% English
CMP002453,"madam,  mujhe Surat se order kiya tha card charge hua but app me failed dikha rha h lekin delivery boy ne call bhi nahi kiya 1999 rupaye ka order tha hope you understand...",Payment Issue,Negative,High,50% Hindi / 50% English
CMP002454,"hello, mujhe Mumbai se order kiya tha lag raha h koi scam type issue hai kyunki payment bhi gaya aur order bhi nahi lekin kisi ne update dene ki bhi zarurat nahi samjhi thanks but no thanks",Fraud/Scam,Negative,Critical,50% Hindi / 50% English
CMP002455,"mujhe  Raipur se order kiya tha reverse pickup schedule hua tha but no show but details me bola tha original quality, par aisa laga local copy h order no 469581 ⚠️ very disappointing??",Return,Negative,Critical,65% Hindi / 35% English
CMP002456,"dear team, mujhe Pune se order kiya tha item out of stock dikh raha hai but ads me available but app pe jo dikhaya gaya tha wo reality se match nahi karta jaldi fix kro",Stock Issue,Negative,Medium,35% Hindi / 65% English
CMP002457,"plz help, bottle leak ho rahi thi aur sab ganda ho gaya fir bhi order summary aur actual item me mismatch hai 999 rupaye ka order tha tracking id TRK6029780 😤 very disappointing",Damaged Product,Negative,Critical,50% Hindi / 50% English
CMP002458,wallet offer claim nahi ho raha fir bhi parcel ka status 48 ghante se same hai 😑 ab kya karu,Cashback,Negative,Medium,55% Hindi / 45% English
CMP002459,"yrr,  mujhe Lucknow se order kiya tha return approve karne me itna time kyu lag rha h lekin app pe jo dikhaya gaya tha wo reality se match nahi karta thanks but no thanks?",Return,Negative,High,65% Hindi / 35% English
CMP002460,"dear team, packaging bahut poor thi aur inner box crushed tha thanks but no thanks",Packaging,Negative,Medium,65% Hindi / 35% English
CMP002461,"plz help, courier wale baar baar reschedule kar rahe h 3499 rupaye ka order tha ab kya karu",Delivery Delay,Negative,High,75% Hindi / 25% English
CMP002462,"please look into, parcels handle bahut rough tarike se hote h tab bhi maine 2 baar complaint raise kiya but same canned reply mil rha h tracking id TRK8926013 order no 670061 isko seriously lo",Courier Experience,Negative,Medium,70% Hindi / 30% English
CMP002463,"madam, estimated date baar baar badal raha hai please expedite...",Tracking Issue,Negative,High,60% Hindi / 40% English
CMP002464,"hello, mujhe Bhopal se order kiya tha seal khula hua tha aur item damage dikha ⚠️ waiting for reply",Damaged Product,Negative,Critical,50% Hindi / 50% English
CMP002465,"sir, order 478288 15 din se pending h 299 rupaye ka order tha jaldi fix kro??",Delivery Delay,Negative,Medium,75% Hindi / 25% English
CMP002466,"plz look into, pickup slot aaya but rider ne cancel kar diya fir bhi mera time aur paisa dono waste hua 💔 isko seriously lo!!",Return Pickup,Negative,Critical,55% Hindi / 45% English
CMP002467,"hello, otp aa hi nahi raha please expedite",Account/Login,Negative,High,40% Hindi / 60% English
CMP002468,"yrr,  pickup boy aaya hi nahi aur request cancel ho gayi and delivery boy ne call bhi nahi kiya ⚠️ please expedite?",Return,Negative,Critical,55% Hindi / 45% English
CMP002469,"plz look into, gift pack expected tha but normal dirty box aaya tab bhi chat support me sirf bot hi bot hai, koi live agent nahi ⚠️ waiting for reply?",Packaging,Negative,Medium,55% Hindi / 45% English
CMP002470,"sir,  saved item open karte hi disappear ho jata h tracking id TRK1187183 🤦 hope you understaur??",Wishlist,Neutral,Medium,35% Hindi / 65% English
CMP002471,"hello, tracking me delivered dikha rha h par pakge mila hi nahi tracking id TRK1029327 😒 ab kya karu",Delivery Delay,Negative,High,70% Hindi / 30% English
CMP002472,tracking me delivered dikha rha h par package mila hi nahi 1499 rupaye ka order tha order no 817658 very disappointing,Delivery Delay,Negative,Critical,60% Hindi / 40% English
CMP002473,"madam, notify me click kiya tha but kabhi update nahi aaya and delivery boy ne call bhi nahi kiya 1999 rupaye ka order tha 🙄 waiting for reply",Stock Issue,Negative,Low,35% Hindi / 65% English
CMP002474,"team, mujhe Ranchi se order kiya tha return approve karne me itna time kyu lag rha h 1499 rupaye ka order tha order no 643651 hope you understaur",Return,Negative,High,55% Hindi / 45% English
CMP002475,"dear  team, packing opened lag rahi thi aur item गायब tha but mera time aur paisa dono waste hua 2499 rupaye ka order tha tracking id TRK4647395 very disappointing",Missing Item,Negative,High,65% Hindi / 35% English
CMP002476,"sir, fake seller jaisa experience mila order no 792222 jaldi fix kro",Fraud/Scam,Negative,Critical,60% Hindi / 40% English
CMP002477,"bhai, address correct tha fir bhi pickup miss ho gaya fir bhi chat support me sirf bot hi bot hai, koi live agent nahi 2499 rupaye ka order tha order no 763593 ab kya karu",Return Pickup,Negative,High,55% Hindi / 45% English
CMP002478,cancel  button kaam hi nahi kar raha aur order summmary aur actual item me mismatch hai jaldi fix kro!!,Subscription,Negative,Critical,35% Hindi / 65% English
CMP002479,"team, pickup slot aaya but rider ne cancel kar diya aur order summary aur actual item me mismatch hai tracking id TRK6525832 very disappointing",Return Pickup,Negative,High,55% Hindi / 45% English
CMP002480,"kindly check, mujhe Delhi se order kiya tha order 366807 14 din se pending h aur app pe jo dikhaya gaya tha wo reality se match nahi karta 499 rupaye ka order tha 😭 jaldi fix kro!!",Delivery Delay,Negative,Critical,60% Hindi / 40% English
CMP002481,"please look into, app very slow hai especially checkout pe please expedite!!",App Performance,Negative,Medium,25% Hindi / 75% English
CMP002482,"sir, mujhe Jaipur se order kiya tha polythene torn thi aur tape bhi half-stick tha ☹️ please expedite",Packaging,Negative,Low,65% Hindi / 35% English
CMP002483,size selected hamesha sold out bol deta h still kisi ne update dene ki bhi zarurat nahi samjhi order no 199357 waiting for reply!!,Stock Issue,Negative,Low,35% Hindi / 65% English
CMP002484,mujhe  Delhi se order kiya tha promo code invalid bol rha h though code sahi tha aur app pe jo dikhaya gaya tha wo reality se match nahi karta tracking id TRK6975549 plzz resolve this!!,Coupon Issue,Negative,High,45% Hindi / 55% English
CMP002485,"please look into, mujhe Lucknow se order kiya tha delivery boy rude tha aur call pe hang up kar diya 3499 rupaye ka order tha 😑 hope you understand??",Courier Experience,Negative,High,70% Hindi / 30% English
CMP002486,"dear  team, courier wale baar baar reschedule kar rahe h aur details me bola tha oriinal quality, par aisa laga local copy h jaldi fix kro!",Delivery Delay,Negative,Medium,70% Hindi / 30% English
CMP002487,"sir, checkout pe error aaya, twice attempt kiya aur dono baar problem hua fir bhi delivery boy ne call bhi nahi kiya 199 rupaye ka order tha tanks but no thanks!",Payment Issue,Negative,Critical,60% Hindi / 40% English
CMP002488,"sir, photo me jo tha usse bilkul different item aaya aur app pe jo dikhaya gaya tha wo reality se match nahi karta 2499 rupaye ka order tha 😡 ab kya karu",Wrong Product,Negative,High,55% Hindi / 45% English
CMP002489,"kindly check, mujhe Lucknow se order kiya tha wishlist me add to ho gaya but sync nahi hua still mera time aur paisa dono waste hua need immediate help",Wishlist,Neutral,Medium,35% Hindi / 65% English
CMP002490,"sir,  notify me click kiya tha but kabhi update nahi aaya tab bhi parcel ka status 48 ghante se same hai 3499 rupaye ka order tha tracking id TRK1361489 hope you understaur!!",Stock Issue,Negative,Low,40% Hindi / 60% English
CMP002491,mujhe Indore se order kiya tha gift pack expected tha but normal dirty box aaya 499 rupaye ka order tha 😒 very disappointing,Packaging,Negative,Low,55% Hindi / 45% English
CMP002492,"bhai, exchange request me size change nahi ho raha aur delivery boy ne call bhi nahi kiya order no 511274 🤦 plz expedite??",Exchange,Negative,Medium,55% Hindi / 45% English
CMP002493,"yrr, mujhe Raipur se order kiya tha box open tha aur aurar item tootahua/ टूटa hua mila fir bhi chat support me sirf bot hi bot hai, koi live agent nahi order no 871568 isko seriously lo",Damaged Product,Negative,High,60% Hindi / 40% English
CMP002494,"dear team, mujhe Delhi se order kiya tha courier staff ne wrong address bolke return mark kar diya fir bhi kisi ne update dene ki bhi zarurat nahi samjhi 😡 hope you understaur",Courier Experience,Negative,High,60% Hindi / 40% English
CMP002495,"kindly check, mujhe Nagpur se order kiya tha premium features still not unlocked after payment please expedite?",Subscription,Negative,High,35% Hindi / 65% English
CMP002496,order me headphones missing tha still mera time aur paisa dono waste hua 799 rupaye ka order tha tracking id TRK2713506 ab kya karu?,Missing Item,Negative,High,65% Hindi / 35% English
CMP002497,"bhai, pickup code generate hi nahi hua lekin parcel ka status 48 ghante se same hai 💔 need immediate help",Return Pickup,Negative,High,60% Hindi / 40% English
CMP002498,"bhai,  mujhe Raipur se order kiya tha sort by price work nahi kar raha aur details me bola tha original quality, par aisa laga local copy h 599 rupaye ka order tha 🥲 isko seriously lo!!",Search/Filter,Negative,Medium,35% Hindi / 65% English
CMP002499,"hello,  amount 799 cut hua but transaction history me mismatch hai and kisi ne update dene ki bhi zarurat nahi samjhi 799 rupaye ka order tha ab kya karu??",Payment Issue,Negative,Critical,60% Hindi / 40% English
CMP002500,"bhai, return pickup 2 baar reschedule hui waiting for reply",Return Pickup,Negative,High,55% Hindi / 45% English
CMP002501,"yrr, mujhe Gurgaon se order kiya tha refund ticket T57564 open hai par koi update nahi lekin chat support me sirf bot hi bot hai, koi live agent nahi ab kya karu",Refund,Negative,High,65% Hindi / 35% English
CMP002502,"please  look into, mujhe Gurgaon se order kiya tha login ke time server error aa raha hai still mera time aur paisa dono waste hua 1499 rupaye ka order tha hope you understand",Account/Login,Negative,Medium,30% Hindi / 70% English
CMP002503,"kindly check, mujhe Lucknow se order kiya tha seller ne misleading photo dala tha but kisi ne update dene ki bhi zaurat nahi samjhi 2499 rupaye ka order tha waiting for reply",Seller Complaint,Negative,High,60% Hindi / 40% English
CMP002504,wishlist me add to ho gaya but sync nahi hua 199 rupaye ka order tha 💔 need immediate help,Wishlist,Neutral,Low,50% Hindi / 50% English
CMP002505,mujhe Noida se order kiya tha return pickup 2 baar reschedule hui 😡 hope you understaur??,Return Pickup,Negative,High,55% Hindi / 45% English
CMP002506,support sirf wait bol rha h aur issue solve nahi still kisi ne update dene ki bhi zarurat nahi samjhi order no 598662 jaldi fix kro!!,Refund,Negative,High,55% Hindi / 45% English
CMP002507,mujhe Jaipur se order kiya tha app 5.1.0 pe baar baar crash ho rha h 299 rupaye ka order tha need immediate help,App Bug,Negative,Critical,25% Hindi / 75% English
CMP002508,"kindly check, ordder 785780 1 din se pending h fir bhi kisi ne update dene ki bhi zarurat nahi samjhi tracking id TRK8674243 order no 785780 thanks but no thanks",Delivery Delay,Negative,Critical,60% Hindi / 40% English
CMP002509,"bhai, mujhe Raipur se order kiya tha emaiil pe 3 baar likha, reply bas auto-generated aaya tab bhi mera time aur paisa dono waste hua 3499 rupaye ka oder tha 🙄 need immediate help",Customer Support,Negative,High,70% Hindi / 30% English
CMP002510,mujhe  Mumbai se order kiya tha estimated date baar baar badal raha hai 🙄 waiting for reply,Tracking Issue,Negative,High,60% Hindi / 40% English
CMP002511,"yrr, search bar typo ignore nahi karta aur no result de deta h but order summary aur actual item me mismatch hai 🤦 thanks but no thanks",Search/Filter,Negative,Low,35% Hindi / 65% English
CMP002512,"yrr,  mujhe Pune se order kiya tha seller ne used item ship kar diya still details me bola tha original quality, par aisa laga local copy h 3499 rupaye ka order tha order no 273418 waiting for reply",Seller Complaint,Negative,Critical,60% Hindi / 40% English
CMP002513,"plz  help, mujhe Lucknow se oder kiya tha exchange request me size change nahi ho raha 2499 rupaye ka order tha 😤 very disappointing?",Exchange,Negative,High,55% Hindi / 45% English
CMP002514,"plz  help, membership auto-renew ho gayi bina permission aur details me bola tha original quality, par aisa laga local copy h 199 rupaye ka order tha tracking id TRK8759763 😒 very disappointing",Subscription,Negative,High,35% Hindi / 65% English
CMP002515,"hello, seal khula hua tha aur item damage dikha plzz resolve this??",Damaged Product,Negative,High,60% Hindi / 40% English
CMP002516,premium features still not unlocked after payment lekin mera time aur paisa dono waste hua 999 rupaye ka order tha jaldi fix kro,Subscription,Negative,Critical,35% Hindi / 65% English
CMP002517,"yrr, OTP mangne se pehle hi status update kar diya tab bhi parcel ka status 48 ghante se same hai 😤 very disappointing",Courier Experience,Negative,Medium,70% Hindi / 30% English
CMP002518,"plz  help, pickup slot aaya but rider ne cancel kar diya aur app pe jo dikhaya gaya tha wo reality se match nahi karta tracking id TRK1774843 thanks but no thanks",Return Pickup,Negative,High,55% Hindi / 45% English
CMP002519,"team, order me blender missing tha tab bhi maine 2 baar complaint raise kiya but same canned reply mil rha h tracking id TRK9151228 😑 ab kya karu",Missing Item,Negative,Critical,65% Hindi / 35% English
CMP002520,"dear  team, discount show hua par fial amount same raha and mera time aur paisa dono waste hua 799 rupaye ka oder tha hope you understand?",Coupon Issue,Negative,Medium,55% Hindi / 45% English
CMP002521,"plz look into, address correct tha fir bhi pikup miss ho gaya order no 552463 jaldi fix kro!",Return Pickup,Negative,Critical,55% Hindi / 45% English
CMP002522,"madam, box open tha aur andar item tootahua/ टूटa hua mila fir bhi order summary aur actual item me mismatch hai please expedite",Damaged Product,Negative,High,50% Hindi / 50% English
CMP002523,"madam, UPI se pay kiya tha, money gaya aur confirmation fail ho gaya isko seriously lo!",Payment Issue,Negative,High,50% Hindi / 50% English
CMP002524,return request T82797 3 din se pending padi hai 2499 rupaye ka order tha need immediate help,Return,Negative,High,65% Hindi / 35% English
CMP002525,"yrr, offer page pe cashback dikhaya aur baad me gayab thanks but no thanks...",Cashback,Negative,Low,45% Hindi / 55% English
CMP002526,parcels handle bahut rough tarike se hote h 999 rupaye ka order tha 🥲 please expedite!,Courier Experience,Negative,Medium,70% Hindi / 30% English
CMP002527,"urgent, MRP aur billed amount me differeence hai 💔 jaldi fix kro??",Price Mismatch,Negative,High,55% Hindi / 45% English
CMP002528,"sir, refund ke bina return close ho gaya still chat support me sirf bot hi bot hai, koi live agent nahi tracking id TRK9293528 thanks but no thanks",Return,Negative,High,65% Hindi / 35% English
CMP002529,coupon apply kiya tha but checkout pe vanish ho gaya tab bhi parcel ka status 48 ghante se same hai ☹️ hope you understaur,Coupon Issue,Negative,High,55% Hindi / 45% English
CMP002530,"madam,  overall experiencce bahut inconsistent raha aur order summary aur actual item me mismatch hai order no 590062 waiting for reply??",Other,Negative,High,50% Hindi / 50% English
CMP002531,"sir, mujhe Ahmedabad se order kiya tha premium features still not unlocked after payment tab bhi maine 2 baar complaint raise kiya but same canned reply mil rha h 🙄 jaldi fix kro",Subscription,Negative,Critical,35% Hindi / 65% English
CMP002532,"team, wishlist me add to ho gaya but sync nahi hua lekin order summary aur actual item me mismatch hai 2499 rupaye ka order tha tracking id TRK9057618 🥲 plz expedite",Wishlist,Neutral,Low,35% Hindi / 65% English
CMP002533,mujhe Lucknow se order kiya tha wallet offer claim nahi ho raha isko seriously lo,Cashback,Negative,Low,55% Hindi / 45% English
CMP002534,"yrr, mujhe Lucknow se order kiya tha refund ke bina return close ho gaya aur order summary aur actual item me mismatch hai 999 rupaye ka order tha order no 857282 jaldi fix kro...",Return,Negative,High,65% Hindi / 35% English
CMP002535,"urgent, return request T49663 3 din se pending padi hai aur kisi ne update dene ki bhi zarurat nahi samjhi 199 rupaye ka order tha tracking id TRK3375602 plzz resolve this",Return,Negative,Critical,65% Hindi / 35% English
CMP002536,"kindly  check, mujhe Patna se order kiya tha app to chal rhi h but service quality weak hai fir bhi order summary aur actual item me mismatch hai 1299 rupaye ka order tha jaldi fix kro",Other,Negative,Low,50% Hindi / 50% English
CMP002537,"dear team, app frequently lag kar rahi hai and mera time aur paisa dono waste hua 399 rupaye ka order tha need immediate help!",App Performance,Negative,High,25% Hindi / 75% English
CMP002538,"urgent, pickup slot aaya but rider ne cancel kar diya 😑 jaldi fix kro",Return Pickup,Negative,Critical,60% Hindi / 40% English
CMP002539,"madam, payment deduct ho gaya but order place hi nahi hua still order summary aur actual item me mismatch hai order no 739211 😡 ab kya karu",Payment Issue,Negative,High,50% Hindi / 50% English
CMP002540,"plz look into, mujhe Indore se order kiya tha otp aa hi nahi raha still kisi ne update dene ki bhi zarurat nahi samjhi order no 952561 🤦 plz expedite?",Account/Login,Negative,Medium,30% Hindi / 70% English
CMP002541,"sir, mujhe Noida se order kiya tha customer care par call kiya but koi response nahi tracking id TRK1171705 waiting for reply!!",Customer Support,Negative,Medium,70% Hindi / 30% English
